data_area_type,data_area_type_FR,data_area,data_area_FR,entity,entity_FR,attribute,attribute_FR,attribute_data_type,attribute_data_type_FR,attribute_description,attribute_description_FR,NEED
HR Business Line Data,Données du secteur d'activité RH,Recourse & OHS,Recours et SST,Disciplinary Action,Mesure disciplinaire,Disciplinary Action Purge Date,Date d'élimination de la mesure disciplinaire,Date,Date,The date the disciplinary action information is purged from the employee record.,Date à laquelle la mesure disciplinaire a été effacée du dossier de l'employé.,
HR Business Line Data,Données du secteur d'activité RH,Recourse & OHS,Recours et SST,Disciplinary Action,Mesure disciplinaire,Disciplinary Action Type,Type de mesure disciplinaire,Code,Code,The type of disciplinary action.,Type de mesure disciplinaire.,
HR Business Line Data,Données du secteur d'activité RH,Recourse & OHS,Recours et SST,Disciplinary Action,Mesure disciplinaire,Disciplinary Action Subtype,Sous-type de mesure disciplinaire,Code,Code,The subtype of disciplinary action. Each disciplinary action type corresponds to a given list of possible disciplinary action subtype.,Sous-type de mesure disciplinaire. Chaque type correspond à une liste de sous-types possibles.,
HR Business Line Data,Données du secteur d'activité RH,Recourse & OHS,Recours et SST,Disciplinary Action,Mesure disciplinaire,Disciplinary Action Detail,Détail de la mesure disciplinaire,Text,Texte,Detailed information describing the disciplinary action.,Description détaillée de la mesure disciplinaire.,
HR Business Line Data,Données du secteur d'activité RH,Recourse & OHS,Recours et SST,Disciplinary Action,Mesure disciplinaire,Disciplinary Action Effective Date,Date d'entrée en vigueur de la mesure disciplinaire,Date,Date,The date the disciplinary action takes effect.,Date à laquelle la mesure disciplinaire entre en vigueur.,
Core Workforce Data,Données de base sur les effectifs,Person,Personne,Education Institution,Établissement d'enseignement,Education Institution Name,Nom de l'établissement,Text,Texte,The name of the institution that provides education.,Nom de l'établissement d'enseignement.,
Core Workforce Data,Données de base sur les effectifs,Person,Personne,Education Institution,Établissement d'enseignement,Education Institution Location,Emplacement de l'établissement,Text,Texte,The location of the institution offering education.,Emplacement de l'établissement d'enseignement.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Personal Record Identifier (PRI),Code d'identification de dossier personnel (CIDP),Identifier,Identifiant,The Personal Record Identifier (PRI) associated with an employee who is currently working for or has worked for a government agency or for a Treasure Board employer.,Code d'identification de dossier personnel associé à un employé qui travaille ou a travaillé pour un organisme gouvernemental ou le Conseil du Trésor.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Superannuation Number,Numéro de pension,Identifier,Identifiant,The identifier used by the pension systems (i.e. Contributor) to identify an employee.,"Identificateur utilisé par les systèmes de pension (le Système des cotisants, par ex.) pour identifier un employé.",
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Continuous Employment Date,Date d'emploi continu,Date,Date,"The base date used to determine the period of time since an employee's initial appointment date. It is used to determine eligibility for item such as benefits, leave, vacation pay. Continuous employment means one (1) or more periods of service in the Public Service, as defined in the Public Service Superannuation Act (PSSA), with allowable breaks only as provided for in the terms and conditions of employment applicable to the employee.","Date de référence servant à déterminer la période écoulée depuis la date de nomination initiale. Elle sert à déterminer l'admissibilité de l'employé aux avantages sociaux, aux congés, à la paie de vacances, etc. Par emploi continu, nous entendons une (1) ou plusieurs périodes de service dans la fonction publique aux termes de la Loi sur la pension de la fonction publique (LPFP) comportant des interruptions permises uniquement dans la mesure où elles sont prévues dans les conditions d'emploi qui s'appliquent à l'employé.",
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Continuous Service Date,Date de service continu,Date,Date,An unbroken period of Public Service employment. Continuous service is broken when employment ceases between two (2) periods of Public Service employment for at least one (1) compensation day.,Période ininterrompue d'emploi au sein de la fonction publique. Le service continu est interrompu lorsqu'il y a cessation d'emploi pendant au moins une (1) journée de rémunération entre deux (2) périodes d'emploi à la fonction publique.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Prior Service Date,Date du service antérieur,Date,Date,"Prior service that a contributor can count as pensionable, at his option, subject to certain conditions.","Service antérieur que le cotisant peut faire compter comme ouvrant droit à pension, sous réserve de certaines conditions.",
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Pensionable Service Date,Date de service ouvrant droit à pension,Date,Date,The base date used to determine the amount of pensionable service an employee has accrued under the Public Service Superannuation Act.,Date servant à calculer le service ouvrant droit à pension que l'employé a accumulé en vertu de la Loi sur la pension de la fonction publique.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Pension Type,Type pension,Code,Code,The pension plan to which an employee must contribute and the employee's contributory status under the plan or the reason an employee is a non-contributor.,Régime de pension auquel l'employé doit cotiser et situation du cotisant ou motif pour lequel l'employé n'y cotise pas.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Leave Service Date,Date de service - congé,Date,Date,"The base date used to determine the leave eligibility for employee. Depending collective agreements, different dates may be used to determine the calculation of annual leave entitlements.",Date servant à calculer l'admissibilité de l'employé aux congés. Les dates utilisées pour calculer l'admissibilité aux congés annuels varient en fonction de la convention collective.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Area of Residence,Région de résidence,Code,Code,"The geographical area of residence of the employee for the purpose of determining eligibility for medical insurance plan, etc.",Région où réside l'employé. Cette donnée sert entre autres à déterminer à quel est le régime d'assurance maladie applicable.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),CPP QPP Eligibility,Admissibilité au RPC ou au RRQ,Code,Code,Code specifying if the employee is liable for Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) deductions.,Code indiquant si l'employé doit cotiser au Régime de pensions du Canada ou au Régime de rentes du Québec.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Income Tax Status,Situation de l'impôt sur le revenu,Code,Code,The Federal and/or Provincial tax status of an employee.,Situation de l'impôt sur le revenu fédéral et/ou provincial d'un employé.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),EI Status,Statut d'AE,Indicator,Indicateur,"Indicator specifying if the employee is subject to employment insurance (EI) coverage and to the Parental Insurance Plan ""PIP"" (for employees working in the province of Quebec).",Indicateur précisant si l'employé est couvert par l'assurance-emploi et par le Régime québécois d’assurance parentale (pour les employés travaillant au Québec).,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Employment Status *,Statut de l'emploi *,Code,Code,*Indicates a current employee's current employment status.,*Indique le statut d'emploi actuel d'un employé.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Employee Full/Part Time Indicator *,Indicateur de temps plein/partiel de l'employé(e) *,Indicator,Indicateur,*Indicator specifying whether the employee works full or part time hours.,*Indicateur précisant si le salarié travaille à temps plein ou à temps partiel.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Employment Event *,Événement lié à l'emploit *,Text,Texte,"*Used as a descriptor for an employee event that has taken place.  (E.g.:  Hire, Termination, Data Change, etc.).","*Utilisé comme descripteur d'un événement survenu chez un employé.  (Par exemple : embauche, licenciement, changement de données, etc.).",
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Employee Tenure *,Durée d'emploi de l'employé(e) *,Code,Code,*The current tenure of the employee. This would be akin to the Employee Class in Phoenix.,*L'ancienneté actuelle de l'employé.  Cela s'apparente à la classe d'employés de Phoenix.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Continuous Employment Years *,Années d'emploi continu *,Number,Nombre,A calculated value in years that is based on the Continuous Employment Date and a today's date or a pre-determined system date.,"Valeur calculée en années, basée sur la date d'emploi continu et la date du jour ou une date système prédéterminée.",
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Continuous Service Years *,Années de service continu *,Number,Nombre,A calcuated value in years that is based on the Continuous Service Date and a today's date or a pre-determined system date.,"Valeur calculée en années, basée sur la date de service continu et la date du jour ou une date système prédéterminée.",
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Pensionable Service Years *,Années de service ouvrant droit à pension *,Number,Nombre,A calculated value in years that is based on the Pensionable Service Date and a today's date or a pre-determined system date.,Valeur calculée en années sur la base de la date de service ouvrant droit à pension et de la date du jour ou d'une date système prédéterminée.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee,Employé(e),Group 2 Flag *,Drapeau du groupe 2 *,Indicator,Indicateur,Indicates if the employee is a Group 2 pension member or not.,Indique si le salarié est affilié ou non à un régime de pension du groupe 2.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Benefit Election,Choix d'avantages sociaux par l'employé,Benefit Plan,Régime d'avantages sociaux,Text,Texte,*Benefit Plan that an employee has chosen to participate in.,*Régime de prestations auquel un employé a choisi de participer.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Benefit Election,Choix d'avantages sociaux par l'employé,Benefit Plan Type,Type de régime d'avantages sociaux,Code,Code,The type of benefit plan.,Type de régime d'avantages sociaux.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Benefit Election,Choix d'avantages sociaux par l'employé,Benefit Plan Certificate Number,Numéro de certificat - régime d'avantages sociaux,Text,Texte,"The employee's certificate number for the benefit plan.  It includes: Public Service Health Care Plan (PSHCP) certificate number, dental plan certificate number, Public Service Management Insurance Plan (PSMIP) certificate number.","Numéro de certificat de l'employé pour le régime d'avantages sociaux : numéro de certificat du Régime de soins de santé de la fonction publique, numéro de certificat du régime dentaire, numéro de certificat du Régime d'assurance pour les cadres de gestion de la fonction publique.",
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Benefit Election,Choix d'avantages sociaux par l'employé,Benefit Plan Eligibility Indicator,Indicateur de l'admissibilité au régime,Indicator,Indicateur,"Indicator used to identify whether the employee qualifies medically to be part of the benefit plan (Supplementary Death Benefit (SDB), Disability Insurance (DI)/Long Term Disability (LTD)).","Indicateur servant à préciser si, sur le plan médical, l'employé est admissible au régime d'avantages sociaux (Prestations supplémentaires de décès (PSD), Assurance invalidité (AI)/Assurance invalidité de longue durée (AILD)).",
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Benefit Election,Choix d'avantages sociaux par l'employé,Benefit Plan Taxable Indicator,Indicateur imposable du régime d'avantages sociaux,Indicator,Indicateur,*Benefit paid in whole or part by the employer and considered taxable under the federal Income Tax Act or Quebec Taxation Act.,*Avantage payé en tout ou en partie par l'employeur et considéré comme imposable en vertu de la loi fédérale de l'impôt sur le revenu ou de la loi québécoise sur les impôts.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Benefit Election,Choix d'avantages sociaux par l'employé,Benefit Provider,Fournisseur du régime d'avantages sociaux,Text,Texte,*Benefit Provider name.,*Nom du fournisseur de prestations.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Benefit Election Status,Statut du choix des avantages sociaux,Employee Benefit Election Status Date,Date du statut du choix des avantages sociaux,Date,Date,The date the status of the benefit plan was in effect.,Date d'effet du statut. ,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Benefit Election Status,Statut du choix des avantages sociaux,Employee Benefit Election Status,Statut du choix des avantages sociaux,Code,Code,"The status associated with the members association with the benefit plan, includes coverage date.","Statut associé à la participation de l'employé au régime d'avantages sociaux, y compris les dates de couverture.",
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee Classification,Classification de l'employé(e),Employee Classification Effective Date,Classification de l'employé(e) Date d'entrée en vigueur,Date,Date,*Date the Employee Classification is effective.,*Date d'entrée en vigueur de la classification des salariés.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee Classification,Classification de l'employé(e),Employee Classification Group,Groupe de classification de l'employé(e),Code,Code,"*This corresponds to the classification grouping for the appointment, and is often the same as the starting component of the classification code. This attribute refers to classification group as it pertains to the employee.",*Cet attribut correspond au groupe de classification pour la nomination et est souvent le même que l'élément de départ du code de classification. Cet attribut se réfère au groupe de classification en ce qui concerne l'employé.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee Classification,Classification de l'employé(e),Employee Classification Sub-Group,Sous-groupe de classification de l'employé(e),Code,Code,"*This corresponds to the classification sub grouping for the appointment, and is often the same as the secondary component of the classification code.  This attribute refers to classification sub-group as it pertains to the employee.","*Cet attribut correspond au sous-groupe de classification pour la nomination, et est souvent le même que l'élément secondaire du code de classification.  Cet attribut se réfère au sous-groupe de classification en ce qui concerne le salarié.",
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee Classification,Classification de l'employé(e),Employee Classification Level,Niveau de classification de l'employé(e),Code,Code,*The level within the salary plan and grade representing a salary range.  This attribute refers to classification level as it pertains to the employee.,*Le niveau dans le plan de salaire et le grade représentant une échelle des salaires.  Cet attribut se réfère au niveau de classification en ce qui concerne l'employé.,
Core Workforce Data,Données de base sur les effectifs,Employee,Employé(e),Employee Classification,Classification de l'employé(e),Employee Classification Step,Classification de l'employé(e) Échelon,Code,Code,*The step within the classification level representing a specific salary for the employee.,*L'échelon au sein du niveau de classification représentant un salaire spécifique pour l'employé.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning & Development Program,Programme d'apprentissage et de perfectionnement d'employé(e) ,Employee Learning & Development Program Start Date,Date de début du programme d'apprentissage et de perfectionnement d'employé(e)  ,Date,Date,The date the employee started the learning and development program.,Date à laquelle l'employé a commencé le programme d'apprentissage et de perfectionnement.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning & Development Program,Programme d'apprentissage et de perfectionnement d'employé(e) ,Employee Learning & Development Program End Date,Date de fin du programme d'apprentissage et de perfectionnement d'employé(e) ,Date,Date,The date the employee completed the learning and development program.,Date à laquelle l'employé a terminé le programme d'apprentissage et de perfectionnement.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Type,Type d'activité d'apprentissage de l'employé,Code,Code,"The type of learning event and includes classroom, online, coaching, mentoring, stretch assignments, etc.","Type d'activité d'apprentissage qui comprend les cours, l'apprentissage en ligne, l'encadrement, le mentorat, l'affectation enrichie, etc. ",
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Priority,Priorité de l'activité d'apprentissage,Code,Code,The priority of a learning event over others; it is needed to determine budget allocation and appropriate approvals.,Priorité de l'activité d'apprentissage par rapport aux autres activités. Cela sert à calculer l'allocation budgétaire et à savoir de quelles approbations on aura besoin.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Description,Description de l'activité d'apprentissage,Text,Texte,A description of the learning event including an overview of learning objectives and the competencies being addressed. Applicable when the learning event does not correspond to a structure learning event and the information is not available from the learning schedule.,"Une description de la formation, y compris une vue d'ensemble des objectifs d'apprentissage et des compétences abordées. Applicable lorsque l'activité d'apprentissage ne correspond pas à une activité d'apprentissage structurée et que les informations ne sont pas disponibles dans le calendrier d'apprentissage.",
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Objective,Objectif de l'activité d'apprentissage,Text,Texte,The overall objective of the learning event that represents all the knowledge and skills to be attained through the completion of the event and the level or standard of expected performance. Applicable when the learning event does not correspond to a structure learning event and the information is not available from the learning catalogue.,L'objectif global de l'action de formation qui représente l'ensemble des connaissances et des compétences à atteindre à l'issue de l'action et le niveau ou la norme de rendement attendue. Applicable lorsque la formation ne correspond pas à une formation structurée et que l'information n'est pas disponible dans le catalogue des formations.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Mandatory Learning Event Indicator,Indicateur d'activité d'apprentissage obligatoire,Indicator,Indicateur,Indicator specifying whether the learning event is mandatory and needs to be completed within the reporting year.,Indicateur précisant si l'activité est obligatoire et si elle doit être terminée au cours de l'année sur laquelle porte le rapport. ,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Target Start Date,Date proposée de début de l'activité d'apprentissage,Date,Date,The proposed date an employee should start the learning.,Date à laquelle on propose que l'employé commence l'activité d'apprentissage.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Target End Date,Date proposée de fin de l'activité d'apprentissage,Date,Date,The proposed date an employee should complete the learning.,Date à laquelle on propose que l'employé termine l'activité d'apprentissage.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Estimated Cost,Coût estimatif de l'activité d'apprentissage,Amount,Montant,"The estimated cost of the learning event including tuition, applicable material, and travel and accommodations.","Coût estimatif de l'activité d'apprentissage, y compris les frais de scolarité, le matériel, les frais de déplacement et les frais d'hébergement.",
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Reimbursement Eligibility Indicator,Indicateur d'admissibilité au remboursement,Indicator,Indicateur,Indicator specifying whether the employee is eligible for reimbursement of tuition and other associated learning costs.,Indicateur précisant si l'employé est admissible au remboursement de ses frais de scolarité ou de tous autres frais d'apprentissage connexes.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Education Leave Eligibility Indicator,Indicateur d'admissibilité au congé d'études,Indicator,Indicateur,Indicator specifying whether the employee is eligible for education leave to attend a learning event or program.,Indicateur précisant si l'employé est admissible à un congé d'études qui lui permettrait de participer à une activité ou un programme d'apprentissage.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event FAA Section 32 App Date,Date d'engagement de fonds pour l'activité d'apprentissage en vertu de l'art 32 de la LGFP,Date,Date,The date the delegated financial authority commits funds for the learning event.,La date à laquelle l'autorité financière déléguée engage des fonds pour la formation.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event FAA Section 32 App Name,Nom du délégataire - autorisation financière de l'activité d'apprentissage en vertu de l'article 32 de la LGFP,Text,Texte,The name of the delegated financial authority able to commit funds.,Le nom de l'autorité financière déléguée capable d'engager des fonds.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Actual Start Date,Date réelle de début de l'activité d'apprentissage,Date,Date,The actual date the learning event starts. Applicable when the learning event does not correspond to a structure learning event and the information is not available from the learning schedule.,Date réelle de début de l'activité d'apprentissage. S'applique lorsque l'activité n'est pas une activité structurée et que l'information ne figure pas à l'horaire d'apprentissage.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Actual End Date,Date réelle de fin de l'activité d'apprentissage,Date,Date,The actual date the learning event ends. Applicable when the learning event does not correspond to a structured learning event and the information is not available from the learning schedule.,La date réelle de la fin de la formation. Applicable lorsque la formation ne correspond pas à une formation structurée et que l'information n'est pas disponible dans le programme de formation.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Result Detail,Résultats détaillés de l'activité d'apprentissage,Text,Texte,Details regarding a participants level of performance during a learning event and their level of success against the learning objectives.,Détails sur le rendement de l'employé au cours d'une activité d'apprentissage et sur la mesure dans laquelle il a atteint les objectifs d'apprentissage.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Result Score,Note obtenue par l'employé à l'activité d'apprentissage,Text,Texte,The overall score or grade an employee receives upon completion of a learning event.,La note globale qu'un employé reçoit à l'issue d'une formation.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Event Result Pass-Fail Indicator,Indicateur échec-réussite pour l'activité d'apprentissage,Indicator,Indicateur,Indicator specifying whether the employee has successfully completed the learning event or not.,Indicateur précisant si l'employé a réussi ou non l'activité. ,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Employee Learning Taxable Benefit Indicator,Indicateur de l'avantage imposable lié à l'éducation et à la formation de l'employe(é),Indicator,Indicateur,*Indicator specifying whether the learning activity is a taxable benefit to the employee.,*Indicateur précisant si l'activité de formation est un avantage imposable pour le salarié.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Event,Activité d'apprentissage de l'employé,Learning Cost,Coût de l'activité d'apprentissage,Amount,Montant,The cost of an enrolment into a learning event.,Frais d'inscription à l'activité d'apprentissage.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Evaluation,Évaluation de l'apprentissage,Employee Learning Evaluation Detail,Détails de l'évaluation de l'apprentissage par l'employé,Text,Texte,"The information provided by a participant used to evaluate a learning event's effectiveness at meeting the learning objectives. The information and its format (i.e. survey, interview, assessment etc.) will vary depending on the learning evaluation approach and the tool(s) used.","Information fournie par le participant et servant à évaluer si l'activité réalise bel et bien les objectifs d'apprentissage. L'information et son format (enquête, entrevue, évaluation, etc.) varient selon l'approche d'évaluation et les outils utilisés.",
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Registration,Inscription à l'activité d'apprentissage,Learning Event Registration Status,Statut de l'inscription à l'activité d'apprentissage,Code,Code,The current status of an employee's registration.,Statut courant de l'inscription de l'employé.,
HR Business Line Data,Données du secteur d'activité RH,Learning & Development,Activités d'apprentissage et de perfectionnement,Employee Learning Registration,Inscription à l'activité d'apprentissage,Learning Event Registration Status Date,Date du statut d'inscription à l'activité d'apprentissage,Date,Date,The date the status is effective.,Date d'entrée en vigueur du statut.,
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Result Type,Type de résultat de rendement,Code,Code,The type of results being captured.,Type de résultats recueillis.,
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Result Date,Date de l'évaluation du rendement,Date,Date,"The date the performance review or assessment occurred. The date may be based on a schedule outlined in the performance agreement, the occurrence of a learning event, or the occurrence of a performance event.","Date à laquelle on a examiné ou évalué le rendement de l'employé. Cette date peut dépendre du calendrier précisé dans l'entente de rendement, d'une activité d'apprentissage ou d'un événement lié au rendement.",
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Result Employee,Résultats relatifs au rendement de l'employé,Text,Texte,An employee's update on their performance against commitments or as a result of a learning event.,Rapport de l'employé sur son rendement par rapport aux engagements ou à la suite d'une activité d'apprentissage.,
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Result Manager,Résultats de l'évaluation du rendement - gestionnaire,Text,Texte,"The Managers feedback on the employee's update. In the case of a yearly assessment, the manager's overall assessment of the employee's performance against the components of the performance agreement.","Commentaires du gestionnaire sur le rendement de l'employé. Dans le cas d'une évaluation annuelle, c'est l'évaluation générale du gestionnaire pour chacun des volets de l'entente de rendement.",
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Result Rating,Cote de rendement,Text,Texte,"An employee's performance rating, as determined by the manager, based on the results provided by the employee and the feedback provided by the manager. ","Cote de rendement que le gestionnaire accorde à l'employé, à la lumière des résultats fournis par l'employé et des commentaires du gestionnaire.",
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Result Rating Status,Statut de la cotation des résultats de l'évaluation du rendement,Code,Code,The status of the rating.,Statut de la cotation.,
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Result Employee Comment *,Résultats relatifs au rendement de l'employé Commentaire *,Text,Texte,* Attribute that contains employee comments about one or more work objectives and or core competenices.,*Attribut qui contient les commentaires des employés sur un ou plusieurs objectifs de travail et/ou compétences de base.,
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Result Manager Comment *,Résultats de l'évaluation du rendement - gestionnaire Commentaire *,Text,Texte,* Attribute that contains manager comments about one or more work objectives and or core competenices.,*Attribut qui contient les commentaires du gestionnaire sur un ou plusieurs objectifs de travail et/ou compétences de base.,
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Annual Performance Assessment Indicator *,Indicateur d'évaluation du rendement annuelle  ,Indicator,Indicateur,Not available - work in progress.,Non disponible - Travaux en cours.,
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Pay Eligibility Indicator *,Indicateur d'admissibilité à la rémunération au rendement,Indicator,Indicateur,Not available - work in progress.,Non disponible - Travaux en cours.,
HR Business Line Data,Données du secteur d'activité RH,Performance,Rendement,Employee Performance Result,Résultats relatifs au rendement de l'employé,Performance Pay Leave with pay Indicator *,Rémunération au rendement Indicateur du congé payé*,Indicator,Indicateur,Not available - work in progress.,Non disponible - Travaux en cours.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Request,Demande de l'employé(e),Employee Request Type,Type de demande de l'employé(e),Code,Code,The type of employee request.,Type de demande de l'employé.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Request,Demande de l'employé(e),Employee Request Subtype,Sous-type de demande de l'employé(e),Code,Code,The subtype of request.,Sous-type de demande.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Employee Request,Demande de l'employé(e),Employee Request Date,Date de la demande de l'employé(e),Date,Date,The date the request is submitted by the employee.,Date à laquelle la demande a été soumise par l'employé.,
